City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Southbridge,US,42.0751,-72.0334,47.57,95,100,9.84,heavy intensity rain
286,Teseney,ER,15.11,36.6575,85.48,39,3,7.52,clear sky
287,Batagay,RU,67.6333,134.6333,58.42,34,56,14.67,broken clouds
288,Naze,JP,28.3667,129.4833,74.32,68,100,5.64,overcast clouds
289,Belyy,RU,55.8402,32.9419,52.32,75,93,4.27,light rain
290,Rafaela,AR,-31.2503,-61.4867,56.05,54,3,3.0,clear sky
291,Najran,SA,17.4924,44.1277,72.25,20,22,4.16,few clouds
292,Martigny,CH,46.0833,7.0833,56.93,76,93,1.57,overcast clouds
293,Bonthe,SL,7.5264,-12.505,80.04,83,97,2.93,light rain
294,Amga,RU,60.8953,131.9608,67.06,36,91,5.5,overcast clouds
295,Taoudenni,ML,22.6783,-3.9836,94.26,7,78,9.22,broken clouds
296,Constantine,DZ,36.365,6.6147,60.62,88,0,2.59,clear sky
297,Coihaique,CL,-45.5752,-72.0662,37.35,60,0,5.75,clear sky
298,Xining,CN,36.6167,101.7667,66.18,25,61,1.86,broken clouds
299,Cairns,AU,-16.9167,145.7667,82.06,50,75,19.57,broken clouds
300,Mar Del Plata,AR,-38.0023,-57.5575,54.0,56,40,5.99,scattered clouds
301,Colares,PT,38.7992,-9.4469,60.48,73,5,13.0,clear sky
302,Namibe,AO,-15.1961,12.1522,73.17,60,0,3.83,clear sky
303,Ewa Beach,US,21.3156,-158.0072,85.95,55,20,14.97,few clouds
304,Didsbury,GB,53.417,-2.2315,57.49,82,100,2.3,overcast clouds
305,La Libertad,EC,-2.2333,-80.9,72.57,86,100,6.49,overcast clouds
306,Norman Wells,CA,65.282,-126.8329,41.04,60,75,9.22,broken clouds
307,Santa Isabel,BR,-23.3156,-46.2214,79.56,59,73,10.02,broken clouds
308,Stryn,NO,61.9045,6.7226,49.14,58,4,2.46,clear sky
309,Trairi,BR,-3.2778,-39.2689,74.3,93,2,6.69,clear sky
310,Lethbridge,CA,49.7,-112.8186,59.81,36,75,4.0,broken clouds
311,Sitka,US,57.0531,-135.33,48.09,76,90,8.05,light rain
312,Saravan,AM,39.7196,45.6483,54.25,53,6,4.5,clear sky
313,Nuqui,CO,5.7125,-77.2708,75.31,91,100,4.21,overcast clouds
314,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.58,99,100,1.16,overcast clouds
315,Point Fortin,TT,10.1833,-61.6833,79.02,76,6,12.68,clear sky
316,Belyy Yar,RU,53.6039,91.3903,51.69,58,0,8.21,clear sky
317,Turayf,SA,31.6725,38.6637,66.45,34,0,4.61,clear sky
318,Bacsay,PH,15.65,120.3333,94.05,50,11,3.67,few clouds
319,Hangu,CN,39.2489,117.7892,69.84,34,37,15.28,scattered clouds
320,Zhuzhou,CN,27.8333,113.15,68.13,97,100,3.67,moderate rain
321,Muzhi,RU,65.3667,64.6667,50.0,62,100,12.37,overcast clouds
322,Bang Sao Thong,TH,13.595,100.8304,94.05,79,40,11.05,light rain
323,Moose Factory,CA,51.2585,-80.6094,37.4,75,1,6.91,clear sky
324,Port Lavaca,US,28.615,-96.6261,81.05,88,1,6.91,clear sky
325,Sorong,ID,-0.8833,131.25,83.82,76,13,12.93,few clouds
326,Atambua,ID,-9.1061,124.8925,82.53,59,78,1.83,broken clouds
327,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,3.91,clear sky
